NBR_amp,NBR_mean,NBR_pha,NDMI_amp,NDMI_mean,NDMI_pha,NDVI_amp,NDVI_mean,NDVI_pha,RATIO_mean,RATIO_std,RATIO_wetdry,RVI_mean,VH_amp,VH_mean,VH_pha,VH_wetdry,VV_mean,VV_wetdry,aspect_cos,cls,dewdep,dewp_mean,elev,precip_dry,precip_mm,precip_wet,reNDVI_amp,reNDVI_mean,reNDVI_pha,slope,soilm_dry,soilm_mean,soilm_wet,soilm_wetdry,temp_mean,lon,lat,blk
0.0836063474416732,0.164641186594963,-2.722546100616455,0.0660236254334449,-0.0451244786381721,-2.547435760498047,0.0731061771512031,0.4390335977077484,2.8512980937957764,-6.884871482849121,3.11490797996521,0.6231678128242493,2.571319103240967,1.0134235620498655,-15.685283660888672,-2.4500348567962646,1.2564022541046145,-8.800411224365234,0.633234441280365,-0.9948973059654236,1,3.2455151081085205,19.396120071411133,77.0,45.309226989746094,186.3233337402344,327.33746337890625,0.0610445998609066,0.2428646683692932,-2.782552719116211,4.8840651512146,0.2840933203697204,0.3382332324981689,0.3923731446266174,0.1082798317074775,22.64163589477539,120.53074,22.9342,1205_254
0.0553544610738754,0.3445031344890594,2.8363699913024902,0.0457735918462276,0.150887906551361,2.565068244934082,0.0605840384960174,0.5169432759284973,2.863018035888672,-6.333691120147705,3.052407503128052,-0.1509052813053131,2.390827417373657,0.5067248344421387,-19.4736442565918,-2.5774173736572266,0.9679059386253356,-13.139952659606934,1.1188112497329712,-0.7658634781837463,1,3.722911834716797,19.798412322998047,267.0,46.478851318359375,172.9737091064453,299.46856689453125,0.0425083264708519,0.3304078876972198,2.57855486869812,8.205740928649902,0.2464741617441177,0.3014064729213714,0.3563387989997864,0.109864629805088,23.52132225036621,120.44788,22.84315,1204_253
0.2399486601352691,0.3375522792339325,-2.935631275177002,0.1866208612918853,0.0678833276033401,-2.8975675106048584,0.2087606340646743,0.6420592665672302,-2.9431471824646,-6.258779048919678,2.6823904514312744,0.1552202105522155,2.8014702796936035,1.5549840927124023,-11.4657564163208,-2.574924230575561,2.0151050090789795,-5.206976890563965,1.8598847389221191,-0.6751439571380615,1,3.2455151081085205,19.396120071411133,100.0,45.309226989746094,186.3233337402344,327.33746337890625,0.1624288260936737,0.4233727753162384,-3.0173580646514893,15.855780601501465,0.2840933203697204,0.3382332324981689,0.3923731446266174,0.1082798317074775,22.64163589477539,120.45233,22.86837,1204_254
0.104150965809822,0.5388793349266052,3.026264190673828,0.0812735557556152,0.2534505426883697,2.812896728515625,0.1167390421032905,0.754203736782074,3.038814067840576,-5.670651912689209,3.049313306808472,-0.1422917395830154,2.410675287246704,0.5587925910949707,-16.731664657592773,-2.4227499961853027,0.749141275882721,-11.061012268066406,0.8914330005645752,-0.140975996851921,1,4.0019636154174805,19.990583419799805,280.0,43.53074645996094,145.16754150390625,246.8043365478516,0.1001236587762832,0.5059975385665894,2.972560405731201,27.50412368774414,0.2452889084815979,0.2783414721488952,0.3113940060138702,0.0661051124334335,23.9925479888916,120.77555,22.22966,1207_246
0.1127260625362396,0.3482708930969238,2.6388936042785645,0.100147008895874,0.0908107832074165,2.5262973308563232,0.0825333893299102,0.4508790671825409,1.5942106246948242,-6.465054035186768,3.082376718521118,-0.0949654653668403,2.42212438583374,0.5563262701034546,-18.825729370117188,-0.3095270693302154,-0.3508870601654053,-12.360675811767578,-0.2559215724468231,-0.8203425407409668,1,3.536424160003662,19.509281158447266,39.0,49.74431610107422,177.6247100830078,305.5050964355469,0.0857227966189384,0.2948826253414154,2.2280545234680176,6.5414862632751465,0.2678819298744201,0.3204320669174194,0.3729822337627411,0.1051002889871597,23.045703887939453,120.42454,22.91249,1204_254
0.066048115491867,0.5014488101005554,-2.6624341011047363,0.0512841008603572,0.2138490825891494,-2.5617542266845703,0.0661250501871109,0.770204484462738,-2.547410249710083,-6.371410846710205,2.4737303256988525,-0.3824496865272522,2.6074821949005127,0.370527446269989,-13.83775520324707,-2.082152843475342,0.3934107422828674,-7.466343879699707,0.7758604288101196,-0.9662877321243286,1,3.4827606678009038,19.1938533782959,50.0,54.204925537109375,183.6466522216797,313.08837890625,0.0511253178119659,0.5263442993164062,-2.603536367416382,2.737602710723877,0.2747484147548675,0.3243363797664642,0.3739243447780609,0.0991759225726127,22.67661476135254,120.42718,23.06622,1204_256
0.140505775809288,0.4575521945953369,-3.045093059539795,0.1290586590766906,0.1944756954908371,-2.98721694946289,0.1195038855075836,0.7124521136283875,2.993133544921875,-6.731226444244385,2.7454147338867188,0.6091495156288147,3.0876030921936035,0.8975112438201904,-9.960782051086426,-2.283209085464477,1.4225471019744873,-3.229555368423462,0.8133975863456726,0.3042015433311462,1,3.30648136138916,17.507661819458008,331.0,57.69468307495117,193.77220153808597,329.8497009277344,0.0929512083530426,0.4834382832050323,3.0450284481048584,29.211557388305664,0.2798152565956116,0.3210102319717407,0.3622051775455475,0.0823899284005165,20.81414222717285,120.69278,22.558,1206_250
0.130278393626213,0.3760328888893127,-2.528674602508545,0.1304474472999572,0.0688818991184234,-2.3083176612854004,0.064348466694355,0.7167307734489441,-3.1029398441314697,-5.035826206207275,5.010616779327393,-0.9292975068092346,2.2220444679260254,0.2340265214443206,-24.984277725219727,0.2940185964107513,-0.9548959732055664,-19.94845199584961,-0.0255984663963317,0.5377100110054016,1,3.1118202209472656,17.810518264770508,1028.0,59.76025390625,200.3168487548828,340.8734436035156,0.0816364362835884,0.4388382732868194,-2.7329211235046387,45.98274993896485,0.2879869341850281,0.3288847506046295,0.3697825670242309,0.0817956402897834,20.922338485717773,120.71291,22.72656,1207_252
0.1772632449865341,0.4572194516658783,-3.015737771987915,0.1477479934692382,0.1841039210557937,-2.998321056365967,0.1289679855108261,0.7315510511398315,3.105510711669922,-6.288130760192871,2.3828110694885254,-0.6721389889717102,2.6539039611816406,0.1261358261108398,-13.026124000549316,-1.3793935775756836,0.1438344717025756,-6.737993717193604,0.8159734606742859,-0.3121599853038788,1,2.959760904312134,18.204805374145508,808.0,61.44756317138672,203.71165466308597,345.9757385253906,0.1165886521339416,0.4829353988170624,-3.096770763397217,18.329465866088867,0.3000304698944092,0.3380650281906128,0.376099556684494,0.0760690793395042,21.16456794738769,120.66503,22.81742,1206_253
0.0821117833256721,0.303094744682312,-3.0056209564208984,0.0645409896969795,0.1215674132108688,3.138731002807617,0.0926921591162681,0.6150588989257812,-2.815009117126465,-8.479381561279297,2.349436521530152,0.0901418775320053,2.940659523010254,0.9603102803230286,-13.723469734191896,-2.779448270797729,0.6905407309532166,-5.244088649749756,0.6003988981246948,0.6035799384117126,1,3.017175912857056,18.977781295776367,167.0,47.843223571777344,202.1314697265625,356.4197082519531,0.0457262136042118,0.3847852945327759,3.0293030738830566,16.591392517089844,0.3219666182994842,0.3693627119064331,0.4167588055133819,0.0947921797633171,21.99495887756348,120.56628,22.98729,1205_255
