system:index,NBR_amp,NBR_mean,NBR_pha,NDMI_amp,NDMI_mean,NDMI_pha,NDVI_amp,NDVI_mean,NDVI_pha,cls,elev,ptid,slope,.geo
0_0,0.10917764706717487,0.40809333,-2.9298205251609004,0.08769504132045332,0.17022535,-2.8784722175838637,0.09932539667280718,0.5807965,-2.975460108599694,1,75,0,3.157255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.06541412251802715,0.5137283,-3.0394859615751995,0.0511787454225052,0.2692229,3.071869188377406,0.0834828439629764,0.6610622,-3.1273998188368517,1,260,1,14.787485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.2086084846175,0.45707417,-2.6532940610451474,0.17521896795835015,0.16983204,-2.5721358884689494,0.16454972677448712,0.66662884,-2.7756912514621184,1,108,2,12.947868,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.09828202332284669,0.66730535,2.9895735628121045,0.09792586567595343,0.37355244,2.881493323382474,0.07449577027696942,0.83499926,2.986097916541763,1,260,3,36.841244,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.10361200748021811,0.50455743,-2.662027817035685,0.08865735282574887,0.24139494,-2.584732426681955,0.08342274229820726,0.5951988,-3.0378552714589446,1,39,4,6.5414863,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.08603998649748948,0.5833855,-2.413275925831484,0.07210836796058659,0.28688517,-2.3843289936131544,0.07848562450834698,0.77798617,-2.5555583103466435,1,50,5,2.9568305,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.0764416553663764,0.5745892,-3.0693361285336125,0.07075191342736499,0.29378173,-3.005860847165238,0.05581518409532143,0.7489119,-3.0419241057758435,1,331,6,29.211557,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.11938192668297759,0.5714603,-2.7210414504489573,0.09365472974339231,0.27023542,-2.683490903698637,0.08751903364334616,0.8053456,-2.850870536493185,1,1028,7,45.98275,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.1531304098211518,0.5801607,-2.7539721284470406,0.13439879841551328,0.2813642,-2.739515403803155,0.08379875170637402,0.8124108,-2.7118256271239143,1,798,8,18.983307,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.08487012822748982,0.47486413,-2.805349723836358,0.06749662401283256,0.22508316,-2.8800975412652043,0.07827703147056624,0.6664345,-2.8618855710581403,1,164,9,11.38091,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.07874327232553988,0.719676,2.577219013765263,0.0998187523449162,0.44262156,2.407106449176657,0.05335899842237596,0.87361044,2.4238875008234944,1,441,10,19.749758,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.025726100111098563,0.67820656,-3.015056976335374,0.027827440839721555,0.38982698,3.127912012523145,0.02094769957311483,0.85129344,-2.8986206376351182,1,591,11,21.251123,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.0715139131078782,0.6434221,-2.6870341686831125,0.06325823305756324,0.3418642,-2.767652088631042,0.06620395256868543,0.7997573,-2.496062509589062,1,161,12,12.340437,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.07815255018915837,0.39547622,-2.9386064064087223,0.05643961939748255,0.1671484,-3.0111020051691497,0.09226559547645971,0.52479655,-2.9574715288615483,1,28,13,11.82959,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.06181897186953802,0.6722036,-2.98390136697085,0.05687620341346215,0.37311786,-2.9573476635527367,0.036458677038265525,0.858061,3.1252930436436874,1,644,14,26.61895,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.029164962149531726,0.12985021,-2.573930777791198,0.014589638736238142,0.02925756,-2.8868350353360226,0.03204140852261426,0.23117018,-2.6537375567743364,1,38,15,1.0056227,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.1624971441061056,0.5578862,-2.7368862835990346,0.13891082333645807,0.27433166,-2.6252475935610278,0.13990349315089862,0.751464,-2.783899046701248,1,86,16,20.869555,"{""type"":""MultiPoint"",""coordinates"":[]}"
