system:index,NBR_amp,NBR_mean,NBR_pha,NDMI_amp,NDMI_mean,NDMI_pha,NDVI_amp,NDVI_mean,NDVI_pha,cls,elev,ptid,slope,.geo
0_0,0.08564070248665459,0.39249808,-2.4944213816132423,0.0638756515418744,0.17908628,-2.4397328190555365,0.07209982020322166,0.5300789,-2.621094468554711,1,75,0,3.157255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.06899392425269105,0.48285887,-3.0973802482504635,0.052016422475124516,0.24584594,-3.1280617887211632,0.07965101124441124,0.6062213,-2.9903301142333047,1,260,1,14.787485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.19983182391885085,0.4308285,-2.822555213728797,0.1613836104827767,0.1455824,-2.7249292519281685,0.17736446977921075,0.60570836,-2.789273063557036,1,108,2,12.947868,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.11327070215976826,0.5287374,-2.83882866789485,0.09143219211745086,0.25978208,-2.862367936842622,0.11575377597808115,0.6860247,-2.7865375613866155,1,260,3,36.841244,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.08027323152489066,0.3652657,-2.4657826106073553,0.06149220016160467,0.16918923,-2.55297795555619,0.03697355309399138,0.44299528,-2.893733928101544,1,39,4,6.5414863,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.09047104241631423,0.53079253,-2.4556493405780886,0.06444828398342851,0.24183388,-2.436020441353014,0.09906479114273395,0.6826085,-2.6442904248035304,1,50,5,2.9568305,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.07555335774785789,0.47393456,-2.2064649082605907,0.05799862513037306,0.21861884,-2.3535528610775245,0.026430912787668473,0.59964347,-2.54766564125066,1,331,6,29.211557,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.08877514427627256,0.56405056,-2.6220206686398653,0.06525321415421903,0.25539422,-2.725437293157957,0.06364947390620385,0.7753071,-3.0416670104113135,1,1028,7,45.98275,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.13912519024491612,0.4561229,-2.6958073450310502,0.12397301056212305,0.18719713,-2.645682978409181,0.09467818773663018,0.66593343,-2.3577392595267064,1,798,8,18.983307,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.08951782734713824,0.41795513,-2.7624660182715375,0.07338640321469533,0.18765572,-2.813322672329635,0.08422370661875098,0.59743434,-2.9306498933063727,1,164,9,11.38091,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.09779602311728444,0.5496861,2.5750504831044148,0.09190377820462939,0.29253584,2.5896251711090748,0.07156301300324079,0.69400907,2.572575401480594,1,441,10,19.749758,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.05449013965676483,0.6409642,2.7664347430336726,0.04370036260148375,0.34713736,2.7011711517307972,0.057096733776463356,0.79613954,2.8973237895580826,1,591,11,21.251123,"{""type"":""MultiPoint"",""coordinates"":[]}"
