,NDVI_iav,NDVI_a24,NDVI_biR,NDVI_spDiff,NDVI_alt,LSWI_iav,LSWI_a24,LSWI_biR,LSWI_spDiff,LSWI_alt,NDRE_iav,NDRE_a24,NDRE_biR,NDRE_spDiff,NDRE_alt,CIre_iav,CIre_a24,CIre_biR,CIre_spDiff,CIre_alt,PSRI_iav,PSRI_a24,PSRI_biR,PSRI_spDiff,PSRI_alt,EVI_iav,EVI_a24,EVI_biR,EVI_spDiff,EVI_alt
0,0.0531710981555544,0.0110396374290798,0.19043583887238835,0.031251978095238095,0.025519594166666715,0.04334126053799777,0.00020341508221802381,0.004149568930513733,0.027795057095238097,0.002601697291666665,0.04103121221182224,0.010315550577872057,0.21994535306696814,0.03383949761904762,0.030691455000000034,0.19070373893494275,0.02222888783455943,0.09083007214788674,0.10581147238095241,0.02214979666666661,0.0317813260923978,0.00955176064344232,0.2936636177832226,0.03712030895238095,0.014505962416666657,0.050009315293261275,0.0034839301890588685,0.09073936390499926,0.02968215588027622,0.01002558099859957
1,0.0857110337847999,0.021577085255493036,0.4083674066400206,0.04043679666666663,0.0024738918055555725,0.038906780365037995,0.021142958415415383,0.47858439490907995,0.03657669533333333,0.004456773458333341,0.05252301643255958,0.01922363324796482,0.43069314874862824,0.024649943888888925,0.015431817916666701,0.2878072841075766,0.13722480620426114,0.5271625880261749,0.17509602666666665,0.1494527363888889,0.02404838830993912,0.01049752321752082,0.6080724435504711,0.010991278955555558,0.004746611002777783,0.07136892906761887,0.02080767913708667,0.31557706025968535,0.06012921515425446,0.04277049889171236
2,0.0912916674773412,0.0329762186594294,0.18789465209551143,0.11289528777777773,0.06992097333333325,0.06361072948711004,0.011912055379133887,0.06814664358882881,0.08284492955555554,0.0026318941388888684,0.06241588865070235,0.02503369420022942,0.1803396271096485,0.0751353061111111,0.05147885916666661,0.41354392452528116,0.14441518613284005,0.13893584375278054,0.4078023044444445,0.23702318805555556,0.038641078708281165,0.008732634444795918,0.10667118760498426,0.07076981588888889,0.02005596777777778,0.06670017306249337,0.011813933011036499,0.06661758452633866,0.05801380505372805,0.026281631590561683
3,0.06517122739661159,0.027529827671567596,0.24031878571731427,0.1093257138888889,0.07248945527777784,0.04602027699271095,0.019013990517709457,0.21821417585618139,0.0733212783888889,0.031299890916666656,0.04702998128744832,0.02447967582843292,0.2590126587557491,0.07673782166666662,0.06232274499999996,0.3827618378882786,0.1701687249948615,0.2251195496684848,0.4827134622222223,0.38547658555555553,0.0176400820319907,0.005453100119522505,0.21870884507303426,0.01697240447777778,0.010018457588888897,0.061522243328202164,0.017344177102290203,0.15048633819949137,0.06027980088358909,0.04099370174926703
4,0.12681496390751842,0.030577292955071982,0.6059288812553805,0.07796713499999998,0.0629246472222223,0.08617483431523763,0.01809279522740737,0.33282751176339953,0.05043232638888889,0.03465443190000001,0.0898484320513926,0.025359561835432528,0.7387865837309334,0.04068987477777778,0.024805656111111102,0.3566323407863537,0.06299865266299985,0.6502724110406641,0.15258950555555553,0.10368180361111112,0.039912683697013125,0.012232017633384969,0.5396234272537358,0.040063937461111115,0.00286781016944445,0.10213943388143061,0.03277688416574004,3.458483767280177,0.051745783474174106,0.024578064974461217
5,0.07754246795248518,0.04381370228205981,0.7606799321771334,0.12356638714285716,0.10212609416666674,0.04411119110766101,0.028571261801829808,0.587748116200654,0.07965575895238095,0.06830165866666668,0.05286917818045603,0.03273733703915753,0.9367810313869713,0.08803147095238094,0.07938871000000003,0.4406694108594589,0.277311481596412,0.6509859120433927,0.6832663857142857,0.6584574333333331,0.028704044215151502,0.0046373868468862845,0.2946802049713145,0.020522352450476195,0.013315965205000002,0.06435141703113088,0.05120117908113277,0.4638982393790718,0.10670656326417248,0.10326254524689116
6,0.09616791249353858,0.03540460541597931,0.41098383482271184,0.15109059619047624,0.10990720583333335,0.053739090879191154,0.017333938694267362,0.15385465921585972,0.11610203311428571,0.06259451664166667,0.06569607322969338,0.02293841233295049,0.2964195058189487,0.09716932523809525,0.06589315125,0.45397571662244407,0.12133487045799529,0.17821650235989533,0.5338499571428571,0.38464813666666653,0.037386703832932945,0.015758449128099306,0.3908412901675705,0.06373698047619047,0.043645781025,0.08925159619792335,0.018165012293636512,0.13483145476303207,0.1196360642226514,0.05065745080295325
7,0.10012909196706025,0.03562047784243799,1.215504747668456,0.09136077555555554,0.03342038152777771,0.05467583492893133,0.007390232713628191,0.06466390818989226,0.11741299405555555,0.03909634368055556,0.06617733377723699,0.02381503515550764,0.5381580939292737,0.060156364444444464,0.02792767055555556,0.5010459932916044,0.1775172487156541,0.4139962303699427,0.5007752916666667,0.26912049999999965,0.029350768414470114,0.004080525203286199,0.19206082400904695,0.02565612054444445,0.0040578082805555575,0.05761084133967359,0.018721562301262346,0.08414727067418029,0.151219902921417,0.07039050209531972
8,0.06287161740450396,0.03518128247106766,0.4331782191363264,0.15433147476190484,0.08389670166666663,0.04419024169816422,0.03252360653387639,0.33158120471686625,0.13047534295238097,0.08329724716666667,0.047045080101595006,0.030396270793019126,0.34925069719239177,0.09552195904761904,0.06114191333333335,0.363690877884627,0.24093365758716104,0.27671434065421846,0.604254818095238,0.49409798250000003,0.016114104198398035,0.0051210098924659355,0.1992785565333968,0.014776826247619047,0.012283428133333333,0.05777870751371813,0.04215845414539727,0.29768582423691714,0.11142799900926428,0.09913403841114521
9,0.08321815294728176,0.024547847765930178,0.5880163529292906,0.06217972388888889,0.02248274249999993,0.055040820889324826,0.031456225753896956,0.4267851521511831,0.08311397482222223,0.04305718708888889,0.055536069409393575,0.02092845590530005,0.5217856128532086,0.04341648777777778,0.029661879722222173,0.37032918786178454,0.1642730130528553,0.45451958000641274,0.3206803722222223,0.2431409361111112,0.029756452428090607,0.009172963912117612,0.39126670872746205,0.03342848069999999,0.018179197108333333,0.07788707468021572,0.039697166949919226,0.45433143729483016,0.09837034638201919,0.06205175268889318
10,0.08047040063981854,0.030400454048482264,0.42480503699203065,0.09021909857142862,0.060477722916666754,0.05013197143389447,0.015922829062364044,0.17525054107168148,0.07572400476190476,0.03233192291666667,0.06995344234833449,0.031599019562261216,0.33337115975475656,0.09015944714285716,0.04624769416666674,0.7400886198799629,0.3525107471585559,0.3445256166888288,0.8755329676190478,0.6370440300000002,0.026038264227169938,0.010095221624017065,0.5069201892927073,0.02614669304761905,0.025095838208333332,0.079489910215766,0.022110955598073037,0.2521285632116516,0.048838967233305594,0.007509648869704788
11,0.09533318100897507,0.016039544856084723,0.3257601304608042,0.0909830561904762,0.0643330133333333,0.05010300078099714,0.009682358216653293,0.2722262626337473,0.04923035523809523,0.01336627583333333,0.07321843465421489,0.011758401084011749,0.3002697694459152,0.05278863666666668,0.037060354166666754,0.6270411485706081,0.13270449940430243,0.2735203223681029,0.44186136476190463,0.340367169166667,0.019650556289810356,0.008454238433011187,1.5816779192263428,0.029015532985714288,0.024286590116666666,0.058219010079012916,0.028545759166536983,0.2571360023923647,0.05709319498128001,0.011561472815468488
12,0.07474776305940686,0.021565211035249672,0.31707390075902,0.07448005277777782,0.04514442861111123,0.031057416744687497,0.004817133714672134,0.0762608727535998,0.038062899444444444,0.0024134222222222113,0.042578557234650656,0.015452502469460828,0.27006048526406845,0.05194043888888883,0.03418432166666663,0.327042820674845,0.15596682452534777,0.3055108326813133,0.32128451666666663,0.24949372499999978,0.020737560940754674,0.004325750579958999,0.3863074459020033,0.01204568005888889,0.004362453018888889,0.04921901075239343,0.018611385741916515,0.11478047703021801,0.0735347845566054,0.06320692868191324
13,0.0963393260541674,0.04826680583305964,0.5754180647303849,0.08850595476190477,0.0934734075,0.05729726203716166,0.03188254176129332,0.43211861895268755,0.05859950256190477,0.06234009724166667,0.07545713328770762,0.03964423058562385,0.5166408217422914,0.06562552095238094,0.06656799999999996,0.32692132137025365,0.14273885147473048,0.3863961526146304,0.1931758619047619,0.2237255233333334,0.05136993458472854,0.012424454388321684,0.32290509627475283,0.0518302557047619,0.03219253913333334,0.0750413060043929,0.03596509081669541,0.3724818159853535,0.06156633520718132,0.06695918695414882
14,0.09216345877701547,0.0086095356005187,0.157308922337792,0.11270694333333334,0.07970815166666656,0.04598608745370713,0.004421981799098962,0.10040626692752347,0.07230859523809523,0.05025508916666663,0.06871376261953277,0.012364692587590835,0.20876380768326755,0.08308830704761905,0.07746724533333338,0.6125755604349556,0.1346254794452961,0.20638624297598168,0.6577283133333334,0.6445478408333334,0.023615877745491034,0.007828851617362088,0.30152961603279693,0.0404249815847619,0.013828359178333333,0.08926185654563605,0.03296679153389387,0.32875782982288004,0.13368842653913093,0.12827690348016108
15,0.032724266045340324,0.009335453524861573,0.253635416193504,0.010912771444444446,0.01021352791666666,0.03494487921204583,0.012433539899424246,0.45418005684333,0.018282886999999994,0.0015263954999999996,0.03643771234820737,0.00969573097004942,0.3363505864017975,0.01602684772222222,0.013167387527777775,0.08642852322449011,0.029782866538634874,0.5240514514880515,0.04368129888888888,0.03374808972222221,0.045089285825880565,0.004681960290027372,0.20088148679454715,0.04132922833333335,0.015634877222222232,0.03259862107201196,0.012727416705909314,0.47165419627841604,0.015197217278361763,0.011529209876258315
16,0.0772970791473822,0.031135127614257536,0.22056188523403425,0.1150520733333333,0.05372234083333338,0.04802207002322282,0.021743617283187893,0.16400996461132153,0.08925836628571429,0.014694641416666668,0.058377339420009076,0.023455091121011906,0.17109113138913318,0.09213386904761904,0.02776380916666671,0.4214301653458366,0.15690882800653136,0.13123985934110965,0.49187252095238093,0.03952840583333339,0.026620502006593775,0.006128124173309334,0.12936614333931293,0.05241331366666667,0.006544609333333333,0.07225374355039826,0.03238862944187347,0.16547276571092884,0.10353044596715232,0.009256968504968321
17,0.09125939328652054,0.05083463840690589,0.24022944314147482,0.20048605428571428,0.1555523720833334,0.07003335343730564,0.012261107211784394,0.05638177414938291,0.10895919567619049,0.021054183253333345,0.06388954147626277,0.031920232629341946,0.18757381786085658,0.1261304019047619,0.10123095416666666,0.4579137992802303,0.13991931687649195,0.11211413561632148,0.5177256476190476,0.40451277249999995,0.0435989718904236,0.004732100820053854,0.0641473145330945,0.09560816245619048,0.0012465189341666766,0.07335234895141128,0.020818768835131358,0.0894039108972909,0.08696771022635316,0.057437512265852586
18,0.10635995078148293,0.042110388608040686,1.226226858950456,0.06045577499999997,0.008401876388889007,0.04895565254568764,0.02504527687989978,0.5283329622215619,0.059543310666666655,0.027390207444444425,0.07775560376650091,0.03403782437862837,0.852744297740358,0.04430159833333334,0.02118751305555555,0.535412904023629,0.21241859877711827,0.5255356833640973,0.3043421711111111,0.2435800955555556,0.0407561228240793,0.007719217374264829,0.24360780406850632,0.021754140055555555,0.01376220313888888,0.10099373233312585,0.026751919417296814,0.3484964970267955,0.05556930358400402,0.008123596134163191
19,0.07454134847750914,0.026811483089218168,0.27343102588049345,0.14793946805555558,0.019419557361111117,0.04802224052151969,0.012732612088030688,0.11208901424777272,0.08360798413888888,0.017063315416666662,0.051204826504060434,0.02080705172887892,0.22788435940661522,0.10062117666666666,0.019721941944444377,0.3247501907304803,0.11069828966900323,0.1566049865619232,0.43609061388888887,0.06261940333333338,0.03537758680128885,0.006161158089928947,0.12175618697040565,0.07742947072777778,0.014164364908333338,0.07288737144617968,0.03901207464298182,0.2510261239746,0.1283392707546945,0.028708643952440716
20,0.051913069136920224,0.011624086231730724,0.14770682562670814,0.051789705333333345,0.035917393444444445,0.03279804335746023,0.007476154952031569,0.1884597254908518,0.023950048888888895,0.0051616450138888895,0.03892899966047705,0.0076915624070242015,0.15227552001616415,0.041225942499999994,0.029264067944444444,0.0970531403565116,0.011468003760328303,0.0716424847507223,0.08564725477777775,0.0783816833888889,0.03195953503588766,0.005980462979481328,0.129347481285517,0.032753515722222216,0.00501965802777779,0.040541394633921014,0.012453924332501365,0.18862525436327116,0.039128869759264794,0.030036494867679578
21,0.08683628001226729,0.032630772949962146,0.19726889099824427,0.10753242888888888,0.02375092861111111,0.05979088825441509,0.014637392023747059,0.11869804919293772,0.09503211304444444,0.03472991482777778,0.06175182825802561,0.023794055725498097,0.18455375286998826,0.07597963388888888,0.015609291944444437,0.3493543534340932,0.11881223676718983,0.13725209897309393,0.3083178472222223,0.01441034638888894,0.042912690039495695,0.002923181979140033,0.04561406177451194,0.07992400955555555,0.034442746472222216,0.0819059155243486,0.01452181396602307,0.08649168545700212,0.10355132769707875,0.027363232858303055
22,0.04024518630490582,0.009599205532452556,0.22265578967123956,0.031599158571428566,0.02712180833333322,0.04093871756788473,0.004386512094051669,0.13268502968566745,0.05468148152380952,0.032352843833333325,0.032949794020044006,0.0050023735218140495,0.1505086156911332,0.024910061904761884,0.01725600249999998,0.11513821868821995,0.018871960065920425,0.10593879587685298,0.11180560761904763,0.09047438375000005,0.034274845133545756,0.012795700192780224,0.3882213959279171,0.05285018101904761,0.03708286247499999,0.04699731510201746,0.008620067560458959,0.13310457963201922,0.07705347760600907,0.05600205884772752
23,0.02381024113967842,0.00965193843560052,1.2337515217379695,0.015329156380952386,0.020917463125000008,0.03515007933663144,0.027389101678180428,0.8277770026163436,0.03860070264285714,0.02984530931249999,0.03897267260206686,0.01792757411348847,0.8599707464690387,0.031657180095238095,0.03877962398333333,0.07426096538680016,0.011307818347231989,0.8551756551022277,0.05096490205714286,0.053229476533333334,0.08698717519956617,0.02803440938442907,0.44562544284532063,0.10470549223809522,0.09002976070833335,0.022078154833528773,0.009978141823962481,1.2628874604960711,0.020053533327255412,0.02216992928879804
24,0.046476667450864075,0.02472147917705937,0.5293236130842238,0.025368083809523823,0.007880515000000088,0.031904622808102585,0.017570859994582005,0.3564123855145153,0.020744618619047618,0.014274596916666688,0.03159443185234827,0.01821092525454335,0.3881599406103233,0.02505426666666669,0.004411928333333315,0.13907397366037436,0.0731363547456388,0.3040030267300962,0.10060045666666662,0.04201079416666664,0.024768377127669976,0.00957452522367843,0.39716160432113945,0.039154616999999996,0.013972118416666693,0.03724220905922403,0.018846095315683153,0.293158923845914,0.046719710806507504,0.006193017407956358
25,0.05271151302354115,0.025403133741410927,0.9891552431475183,0.032362040555555534,0.010619206666666658,0.047485306135868634,0.013348221889838065,0.8088774037780956,0.06334078422222222,0.012547144844444446,0.042695571746849514,0.01594914747918165,1.9487119132823338,0.045023789777777774,0.01146956758333334,0.12434118444210451,0.027778089501149447,0.5825830659018155,0.12108228555555552,0.033536166388888844,0.045616083526997246,0.010678376911651456,0.3602127660681181,0.043763437055555555,0.010591040305555577,0.052182972863020004,0.019337158990339706,0.5208206899072368,0.04021908944765814,0.007475168362154783
26,0.06388980504299412,0.020835076901069064,0.20822271708529028,0.1419739995238095,0.05551962874999994,0.047275863381101346,0.025178311080136264,0.22573872454333857,0.10364014180952379,0.05744157058333334,0.04951042016799732,0.015615945744665915,0.17954081938670816,0.10235804,0.038748859999999996,0.4064626771360937,0.14283076962031607,0.19968540261736986,0.6396408828571428,0.3002854066666667,0.029128639575410554,0.004508648412184841,0.16599631946291893,0.05297451180380953,0.01825051688,0.07546625756991683,0.03965054429827333,0.285910165227276,0.11338145197061748,0.08152305464463755
27,0.10124623726441966,0.05050902236030387,0.8481980445805134,0.11789468142857139,0.10789871208333335,0.05212768418664288,0.01582784467346605,0.17648347666353348,0.04780495333333333,0.032985948125,0.07096791823332411,0.037723992621645434,0.5274648595930852,0.08825890333333332,0.09560616166666674,0.4566111039915577,0.22211438405724085,0.3784184019853722,0.5714717904761903,0.6535146249999999,0.03866664038683147,0.0033525140819713308,0.4294836209040044,0.07176392758857143,0.027529250572499997,0.07701550367445735,0.04131436154289722,0.3313540051690954,0.10979793350987684,0.11263723587725316
28,0.08608468190254098,0.03439858777553726,0.545424450574587,0.09543528285714294,0.08037178,0.04526930534469036,0.025941370492296275,0.4689906608094151,0.08185595152380955,0.04846057466666667,0.06069355368613414,0.027020763055464428,0.4397816685414167,0.054936353809523816,0.051537574166666655,0.40143161732443655,0.13220807642133633,0.21363004336119845,0.296220638095238,0.21369500333333313,0.02419518576302075,0.00719032000502603,0.14061503219994226,0.022339913857142863,0.011441370125000003,0.08352494738767106,0.03935141020419469,0.24740632513646943,0.10048657943484005,0.09060816861702825
29,0.042157170858459415,0.006857874217104635,0.6780536086419388,0.01199553476190474,0.007208545833333302,0.04012138794934828,0.008466728155836706,1.510677327188372,0.02383838209523809,0.0008044738333333468,0.03139241724270058,0.002479479350151304,0.18172212812454644,0.016455760000000007,0.004879440833333332,0.1187552468183719,0.030402751633643116,0.5819973406413982,0.02855598285714286,0.00964689333333335,0.03911229998285679,0.008131790276868826,0.521190509206776,0.03665140076190476,0.014951122333333344,0.03249994605028691,0.007270175436719363,0.25112383163835267,0.021051489126915728,0.003813487804242538
30,0.03853979791333566,0.019127804849421323,0.26639293029472927,0.07191565666666673,0.02849749305555549,0.02945272233073934,0.025907603604340367,0.36557617053883157,0.03994114444444444,0.03509756041666667,0.03148734857937448,0.021535435614855984,0.26953406350481907,0.023032953333333328,0.01697674249999992,0.291775066445815,0.14787355843062397,0.1789606260987199,0.21529942222222234,0.21810310833333402,0.018564359421838834,0.006222581898485258,0.3268222457506438,0.022686864477777777,0.0030399513166666672,0.06808866594759812,0.031011435462760435,0.2927561292950779,0.07649011705384189,0.027835086130884035
